"","confirmed","confirmed_per_100k","deaths","deaths_per_100k","recovered","active","mortality_rate","population","pop_density","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","diabetes_20_79","death_by_ncd","death_by_cvd_ca_dm_30_70","tourist_arrivals","gdp_capita","income","oecs","economy","region_1","region_2","region_3","region_4","region_5","region_6","region_7","region","income_1","income_2","income_3","income_4"
"Antigua & Barbuda",93,95.7597973599127,3,3.08902572128751,88,2,3.2258064516129,97118,218.831818181818,21.9547354764307,68.9903004592352,9.05496406433411,13.1,81.8,22.6,269000,15703.028475991,3,1,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0
"Bahamas",1424,365.613815272593,20,5.13502549540158,203,1201,1.40449438202247,389482,38.5254745254745,22.0757313560062,70.4409959895451,7.48327265444873,8.8,73.9,15.5,1633000,27477.9598590968,3,2,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0
"Belize",475,121.684731512247,4,1.02471352852418,38,433,0.842105263157895,390353,16.7939938623411,29.704395764859,65.4282149746512,4.86738926048986,17.1,67.4,22.1,489000,4149.86190551309,2,2,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"Barbados",153,53.3054611967599,7,2.43881195017856,122,24,4.57516339869281,287025,666.606976744186,17.0504311471126,66.7185785210348,16.2309903318526,13.4,82.8,16.2,680000,16099.8284121592,3,2,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0
"Dominica",18,25.0668449197861,0,0,18,0,0,71808,95.5,NA,NA,NA,11.6,NA,NA,63000,7055.47018249463,2,1,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"Grenada",24,21.4279974643536,0,0,24,0,0,112003,327.805882352941,23.7172218601287,66.6053587850325,9.67741935483871,10.7,81.3,21.4,185000,9330.0409096764,2,1,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"Guyana",737,94.1532974094429,25,3.19380249014393,365,347,3.3921302578019,782766,3.95734823469647,27.9299305284082,65.3584851667037,6.71158430488805,11.6,67.6,30.5,287000,4159.60911667613,2,2,1,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"Haiti",7921,70.3271406206315,196,1.7401994144229,5235,2490,2.47443504608004,11263077,403.59854862119,32.8585874002282,62.0777430536966,5.0636695460752,6.7,57.1,26.5,447000,714.483025739391,1,2,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,1,0,0
"Jamaica",1146,38.8701340680444,14,0.474853295770176,770,362,1.2216404886562,2948279,270.993074792244,23.5312193995209,67.5463889272352,8.92239167324395,11.3,80,14.7,2473000,4866.98734957067,2,2,1,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"St. Kitts & Nevis",17,32.1829506086364,0,0,17,0,0,52823,201.696153846154,NA,NA,NA,13.3,NA,NA,125000,17241.5917321833,3,1,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0
"St. Lucia",26,14.2239728650364,0,0,25,1,0,182790,298.17868852459,18.211061874282,71.7539252694349,10.0350128562832,11.6,82,18.8,395000,9350.74809965205,2,1,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"Suriname",3216,553.174215476493,54,9.28837302106053,2196,966,1.67910447761194,581372,3.69225,26.9118567801683,66.0730134922219,7.01512972760986,12.5,75.9,21.7,NA,7966.68335951778,2,2,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
"Trinidad & Tobago",629,45.0904784537048,12,0.860231703409313,140,477,1.90779014308426,1394973,270.927485380117,20.2611806823501,68.6206112949857,11.1182080226642,11,80.7,21.3,375000,15105.1185489231,3,2,1,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0
"St. Vincent & Grenadines",58,52.4464458490447,0,0,55,3,0,110589,282.589743589744,22.1938890848095,68.06553997233,9.7405709428605,11.6,81,23.2,80000,6852.50018972198,2,1,2,0,0,1,0,0,0,0,"Latin America & Caribbean ",0,0,0,1
